School,Conference,Player Name,Class/Year,Total Minutes Played,Games Played,Games Started,Nationality,Hometown,Country,Source Stats URL,Source Roster URL,Data Confidence,Notes,Estimated Graduation,Position
Adams State,RMAC,Lars Ostermann,So.,,,,International,"Untersiggenthal, Switzerland",Switzerland,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2028,Goalkeeper
Adams State,RMAC,Andy Pablo,Fr.,,,,USA,"Seattle, WA",,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2029,Forward
Adams State,RMAC,Eric Kidson,So.,,,,International,"Sydney, Australia",Australia,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2028,Forward
Adams State,RMAC,Mario Alejo,So.,,,,International,"Madrid, Spain",Spain,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2028,Defender
Adams State,RMAC,Tim Mietenkorte,So.,,,,International,"Lengerich, Germany",Germany,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2028,Defender
Adams State,RMAC,Ethan Padgett,Fr.,,,,USA,"Loveland, CO",,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2029,Defender
Adams State,RMAC,Jon Marc Messersmith,So.,,,,USA,"Brighton, Colo.",,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2028,Forward
Adams State,RMAC,Cameron Sickels,Jr.,,,,USA,"Littleton, CO",,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2027,Defender
Adams State,RMAC,Hayden Rogers,Fr.,,,,USA,"Dallas, TX",,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2029,Midfielder
Adams State,RMAC,Sebastian Flores,Jr.,,,,USA,"Phoenix, AZ",,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2027,Defender
Adams State,RMAC,Ace Miles,Fr.,,,,USA,"Brighton, CO",,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2029,Midfielder
Adams State,RMAC,Avery Richards,Jr.,,,,USA,"San Antonio, Texas",,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2027,Forward
Adams State,RMAC,Fabian Braendle,Gr.,,,,International,"St. Gallen, Switzerland",Switzerland,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2025,Midfielder
Adams State,RMAC,Justin Lintonsmith,R-Jr.,,,,USA,"Lone Tree, Colo.",,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2027,Forward
Adams State,RMAC,Matteo Branger,Gr.,,,,International,"Annecy, 74, FRANCE",France,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2025,Midfielder
Adams State,RMAC,Owen Pichardo,Fr.,,,,USA,"Sunland Park, NM",,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2029,Midfielder
Adams State,RMAC,Frank Angelo Dufitumukiza,Gr.,,,,International,"Harmelen, Netherlands",Netherlands,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2025,Midfielder
Adams State,RMAC,Berend Heijmans,Jr.,,,,International,"Bussum, Netherlands",Netherlands,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2027,Defender
Adams State,RMAC,JP Fernandez,Jr.,,,,USA,"Phoenix, AZ",,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2027,Goalkeeper
Adelphi,Northeast-10,Chris Interiano,Jr.,,,,USA,"Brentwood, N.Y.",,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2027,Goalkeeper
Adelphi,Northeast-10,Santiago Arango,So.,,,,International,"Medellin, Colombia",Colombia,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2028,Goalkeeper
Adelphi,Northeast-10,Vaclav Borovicka,Sr.,,,,International,"Prague, Czech Republic",Czechia,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2026,Defender
Adelphi,Northeast-10,Joseph Blackton,Jr.,,,,USA,"West Islip, N.Y.",,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2027,Midfielder
Adelphi,Northeast-10,Leo Carlsson Senoo,Jr.,,,,International,"Västerås, Sweden",Sweden,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2027,Defender
Adelphi,Northeast-10,Joacim Carhed,Gr.,,,,International,"Kungshamn, Sweden",Sweden,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2025,Defender
Adelphi,Northeast-10,Pablo Ablanedo,Gr.,,,,International,"Gijon, Spain",Spain,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2025,Midfielder
Adelphi,Northeast-10,Victor Castel,Gr.,,,,International,"Valencia, Spain",Spain,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2025,Forward
Adelphi,Northeast-10,Sam Nolan,Jr.,,,,International,"Berkhamsted, England",United Kingdom,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2027,Midfielder
Adelphi,Northeast-10,Gonzalo Gil,Jr.,,,,International,"Valencia, Spain",Spain,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2027,Forward
Adelphi,Northeast-10,Luca Boast,Jr.,,,,International,"London, England",United Kingdom,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2027,Midfielder
Adelphi,Northeast-10,Ryan Herman,So.,,,,USA,"Holtsville, N.Y.",,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2028,Defender
Adelphi,Northeast-10,Andrew Watson,Jr.,,,,USA,"West Sayville, N.Y.",,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2027,Defender
Adelphi,Northeast-10,Tyler Dwyer,Jr.,,,,USA,"Fort Myers, Fla.",,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2027,Midfielder
Adelphi,Northeast-10,Pablo Herrera,Gr.,,,,International,"Torrelodones, Madrid, Spain",Spain,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2025,Midfielder
Adelphi,Northeast-10,Jad Abbas,Fr.,,,,International,"Beirut, Lebanon",Lebanon,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2029,Midfielder
Adelphi,Northeast-10,Dominic Cupid,Fr.,,,,International,"Fareham, England",United Kingdom,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2029,Forward
Adelphi,Northeast-10,Peter Agelis,So.,,,,USA,"Shirley, N.Y.",,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2028,Forward
Adelphi,Northeast-10,Lucas Nicolaou,Sr.,,,,USA,"East Meadow, N.Y.",,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2026,Defender
Adelphi,Northeast-10,Andre Josaphat,So.,,,,USA,"Central Islip, N.Y.",,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2028,Forward
Adelphi,Northeast-10,Saul Cardozo,So.,,,,USA,"West Hempstead, N.Y.",,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2028,Midfielder
Adelphi,Northeast-10,Alessio Consoli,Jr.,,,,International,"Priverno, Italy",Italy,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2027,Midfielder
Adelphi,Northeast-10,Matthew Murphy,Fr.,,,,International,"Stamford, England",United Kingdom,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2029,Forward
Adelphi,Northeast-10,Daniele Bottazzo,Jr.,,,,International,"Baden-Württemberg, Germany",Germany,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2027,Defender
Adelphi,Northeast-10,Manji Komuro-Ragsdale,So.,,,,USA,"Washington, D.C.",,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2028,Forward
Adelphi,Northeast-10,Richard DeBrosse,Sr.,,,,USA,"Elmont, N.Y.",,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2026,Forward
Adelphi,Northeast-10,Brandon Carchipulla,Fr.,,,,USA,"Yonkers, N.Y.",,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2029,Midfielder
Adelphi,Northeast-10,Callum Walmsley,Jr.,,,,International,"Barnsley, England",United Kingdom,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2027,Defender
Adelphi,Northeast-10,Gustav Attas,Fr.,,,,International,"Öreboro, Sweden",Sweden,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2029,Defender
Adelphi,Northeast-10,Rory Duggan,Sr.,,,,USA,"Maspeth, N.Y.",,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2026,Forward
Adelphi,Northeast-10,Benjamin Salas,Fr.,,,,International,"Lima, Peru",Peru,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2029,Midfielder
Adelphi,Northeast-10,Louis Pelo,Fr.,,,,USA,"Kings Park, N.Y.",,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2029,Defender
Adelphi,Northeast-10,Zain Suterwalla,Fr.,,,,International,"London, England",United Kingdom,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2029,Forward
Adelphi,Northeast-10,Ethan Lager,Fr.,,,,USA,"Brooklyn, N.Y.",,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2029,Defender
Adelphi,Northeast-10,Cameron Anderson,Fr.,,,,International,"London, England",United Kingdom,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2029,Goalkeeper
Adelphi,Northeast-10,Gianluca Intranuovo,Jr.,,,,USA,"Franklin Square, N.Y.",,,https://aupanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 69%,2027,Goalkeeper
Alabama Huntsville,GSC,Sonny Wright,R-Fr.,,,,International,"Suffolk, England",United Kingdom,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2029,Goalkeeper
Alabama Huntsville,GSC,Angello Karadzhinov,Jr.,,,,International,"Blackpool, England",United Kingdom,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2027,Defender
Alabama Huntsville,GSC,Gabe Restrepo,So.,,,,USA,"Birmingham, Ala.",,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2028,Midfielder
Alabama Huntsville,GSC,Mille Eriksson,Fr.,,,,International,"Visby, Sweden",Sweden,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2029,Defender
Alabama Huntsville,GSC,Stellios Starakis,Fr.,,,,International,"Nikaia, Greece",Greece,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2029,Midfielder
Alabama Huntsville,GSC,Havar Solheim,Fr.,,,,International,"Sysle, Norway",Norway,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2029,Forward
Alabama Huntsville,GSC,Kieran Rowe,Sr.,,,,International,"Cornwall, England",United Kingdom,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2026,Midfielder
Alabama Huntsville,GSC,Oli Orzechowski,So.,,,,International,"Oxford, England",United Kingdom,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2028,Forward
Alabama Huntsville,GSC,Diego Preite,So.,,,,International,"São Paulo, Brazil",Brazil,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2028,Midfielder
Alabama Huntsville,GSC,Brewer Wall,Jr.,,,,USA,"Columbia, Tenn.",,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2027,Midfielder
Alabama Huntsville,GSC,Donny Cruz,Fr.,,,,USA,"Memphis, Tenn.",,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2029,Goalkeeper
Alabama Huntsville,GSC,Malek Elbendary,Gr.,,,,International,"Cairo, Egypt",Egypt,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2025,Forward
Alabama Huntsville,GSC,Harvey Hewson,Jr.,,,,International,"Woking, England",United Kingdom,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2027,Defender
Alabama Huntsville,GSC,Xavier Martin,Jr.,,,,International,"York, England",United Kingdom,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2027,Midfielder
Alabama Huntsville,GSC,Tomas Peral,Jr.,,,,USA,"Moody, Ala.",,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2027,Forward
Alabama Huntsville,GSC,Brody Worrell,Fr.,,,,USA,"Wetumpka, Ala.",,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2029,Midfielder
Alabama Huntsville,GSC,Caleb Alldredge,Fr.,,,,USA,"Huntsville, Ala.",,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2029,Midfielder
Alabama Huntsville,GSC,Mekhi Morris,Fr.,,,,USA,"Jackson, Tenn.",,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2029,Defender
Alabama Huntsville,GSC,Ross DeGroot,Jr.,,,,USA,"New Lenox, Ill.",,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2027,Forward
Alabama Huntsville,GSC,Josh Lowe,Sr.,,,,USA,"Huntsville, Ala.",,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2026,Defender
Alabama Huntsville,GSC,Emil Wigren,Fr.,,,,International,"Uppsala, Sweden",Sweden,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2029,Midfielder
Alabama Huntsville,GSC,Justin Alcantara,Gr.,,,,USA,"Madison, Ala.",,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2025,Midfielder
Alabama Huntsville,GSC,Henry Mpagi Jr.,Jr.,,,,USA,"Huntsville, Ala.",,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2027,Midfielder
Alabama Huntsville,GSC,Cameron Strachan,Jr.,,,,International,"Suffolk, England",United Kingdom,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2027,Midfielder
Alabama Huntsville,GSC,Tyson Balleza,Sr.,,,,USA,"San Ramon, Calif.",,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2026,Defender
Alabama Huntsville,GSC,Marcus Astreos,Sr.,,,,International,"Chester, England",United Kingdom,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2026,Midfielder
Alabama Huntsville,GSC,Charlie Garrison,Jr.,,,,USA,"Baton Rouge, La.",,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2027,Midfielder
Alabama Huntsville,GSC,Ethan Haworth,Gr.,,,,USA,"Lexington, S.C.",,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2025,Goalkeeper
Alabama Huntsville,GSC,Donovan Pruitte,So.,,,,USA,"Jackson, Tenn.",,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2028,Forward
Alabama Huntsville,GSC,Daniel Daren,So.,,,,International,"Linkoping, Sweden",Sweden,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2028,Defender
Alabama Huntsville,GSC,Wesley Atoyebi,So.,,,,USA,"Waxhaw, N.C.",,,https://uahchargers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 61%,2028,Defender
American International,Northeast-10,Lucas Morales-Fernandez,Gr.,,,,USA,"Amherst, Mass.",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2025,Goalkeeper
American International,Northeast-10,Nicholas Chapman,Gr.,,,,International,"Sheffield, England",United Kingdom,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2025,Defender
American International,Northeast-10,Cornelius Christensen,Jr.,,,,International,"Sandefjord, Norway",Norway,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2027,Midfielder
American International,Northeast-10,Guilherme Afonso,So.,,,,International,"Cascais, Portugal",Portugal,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2028,Defender
American International,Northeast-10,Leonard Riby-Williams,Jr.,,,,USA,"Montpelier, VT",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2027,Defender
American International,Northeast-10,Anton Granholm,So.,,,,International,"Stockholm, Sweden",Sweden,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2028,Defender
American International,Northeast-10,Thomas Lafayette,Jr.,,,,USA,"Somers, CT",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2027,Midfielder
American International,Northeast-10,Renford Morgan,So.,,,,USA,"Windsor, CT",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2028,Midfielder
American International,Northeast-10,Pietro Botasso,Fr.,,,,International,"Cuneo, Italy",Italy,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,Forward
American International,Northeast-10,Christian Torres,Jr.,,,,USA,"Port Chester, NY",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2027,Midfielder
American International,Northeast-10,Giorgos Nikolettides,Fr.,,,,International,"Limassol, Cyprus",Cyprus,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,Forward
American International,Northeast-10,Tyler Ferreira,So.,,,,USA,"Newington, CT",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2028,Midfielder
American International,Northeast-10,Sean Menacho,Jr.,,,,USA,"Arlington, VA",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2027,Midfielder
American International,Northeast-10,Fernando Ramirez,Jr.,,,,USA,"New Rochelle, NY",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2027,Midfielder
American International,Northeast-10,Santiago Carmona,Jr.,,,,USA,"Boston, MA",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2027,Defender
American International,Northeast-10,Axel Sundberg,Fr.,,,,International,"Lulea, Sweden",Sweden,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,Midfielder
American International,Northeast-10,Nicholas Mauro,So.,,,,USA,"York, ME",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2028,Midfielder
American International,Northeast-10,Leo Consoloni,Fr.,,,,International,"Lecco, Italy",Italy,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,Midfielder
American International,Northeast-10,Christian M. Torres,Fr.,,,,USA,"Deerfield Beach, FL",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,
American International,Northeast-10,Hannes Vidstrom,Fr.,,,,International,"Karlstad, Sweden",Sweden,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,Defender
American International,Northeast-10,Lois Vanhoutte Matton,So.,,,,International,Costa Rica,Costa Rica,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2028,Midfielder
American International,Northeast-10,Javier Simms,So.,,,,USA,"Holyoke, MA",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2028,Forward
American International,Northeast-10,Sam Cahill,Jr.,,,,USA,"Northfield, MA",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2027,Defender
American International,Northeast-10,Dollby St.Louis,So.,,,,USA,"Manchester, NH",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2028,Midfielder
American International,Northeast-10,Lucas Cardoso,So.,,,,USA,"Brockton, MA",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2028,Midfielder
American International,Northeast-10,Keegan McGonigle,So.,,,,USA,"Brooklyn, NY",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2028,Forward
American International,Northeast-10,Havilah Wanaba,Jr.,,,,USA,"Lowell, MA",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2027,Forward
American International,Northeast-10,Tyler Napoletano,So.,,,,USA,"Newmarket, NH",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2028,Forward
